.96 9506448
-0.31 9.09 4638740
-0.32 9.16 4644728
-0.32 9.23 4649736
-0.33 9.30 4654744
-0.33 9.38 4659744
-0.33 9.46 4664736
-0.34 9.55 4669744
-0.34 9.64 4674752
-0.35 9.74 4679752
-0.35 9.83 4684744
-0.36 9.93 4689756
-0.36 10.02 4694760
-0.37 10.13 4700748
-0.37 10.23 4706748
-0.38 10.33 4712744
-0.39 10.41 4718756
-0.39 10.48 4724772
-0.40 10.53 4730764
-0.41 10.57 4736768
-0.42 10.60 4742772
-0.43 10.62 4748772
-0.44 10.65 4754780
-0.46 10.69 4760780
-0.47 10.74 4766784
-0.49 10.80 4772776
-0.50 10.86 4778784
-0.52 10.92 4784788
-0.54 10.98 4790792
-0.55 11.02 4796800
-0.57 11.05 4802800
-0.59 11.05 4808804
-0.60 11.06 4814804
-0.61 11.06 4820812
-0.62 11.06 4826816
-0.64 11.06 4831828
-0.65 11.06 4837820
-0.66 11.06 4842828
-0.67 11.06 4847836
-0.68 11.06 4852840
-0.69 11.06 4857844
-0.70 11.06 4863832
-0.71 11.06 4868848
-0.72 11.06 4873860
-0.73 11.05 4879852
-0.74 11.05 4885852
-0.74 11.04 4891856
-0.74 11.01 4897856
-0.74 10.97 4903848
-0.74 10.91 4909848
-0.74 10.83 4915852
-0.73 10.75 4921856
-0.73 10.66 4927856
-0.73 10.57 4933856
-0.72 10.48 4939856
-0.71 10.40 4945864
-0.70 10.32 4951868
-0.68 10.25 4957864
-0.67 10.17 4963868
-0.65 10.10 4969864
-0.64 10.03 4975868
-0.62 9.96 4981872
-0.60 9.91 4986888
-0.58 9.86 4991876
-0.56 9.81 4996884
-0.53 9.75 5001892
-0.51 9.70 5006900
-0.49 9.64 5011900
-0.47 9.58 5016900
-0.44 9.52 5021900
-0.42 9.45 5026908
-0.40 9.39 5031916
-0.36 9.30 5037904
-0.33 9.23 5042912
-0.31 9.15 5047920
-0.28 9.08 5052932
-0.25 9.02 5057924
-0.22 8.96 5062932
-0.18 8.92 5068916
-0.15 8.90 5073932
-0.12 8.89 5078932
-0.08 8.89 5083936
-0.05 8.89 5088928
-0.02 8.89 5093932
0.02 8.89 5098916
0.05 8.89 5103916
0.09 8.89 5108916
0.13 8.89 5113916
0.16 8.89 5118912
0.20 8.90 5123916
0.24 8.90 5128920
0.28 8.90 5133920
0.32 8.90 5138916
0.36 8.90 5143920
0.40 8.90 5148920
0.43 8.92 5153920
0.47 8.94 5158932
0.51 8.97 5163924
0.55 9.01 5168944
0.58 9.04 5173940
0.62 9.09 5178940
0.65 9.13 5183932
0.69 9.18 5188936
0.72 9.23 5193936
0.75 9.29 5198944
0.79 9.35 5203948
0.82 9.42 5208952
0.84 9.49 5213956
0.87 9.56 5218952
0.89 9.63 5223956
0.91 9.68 5228956
0.92 9.72 5233964
0.91 9.73 5238964
0.89 9.75 5243976
0.89 9.79 5248972
0.89 9.86 5253980
0.89 9.95 5258984
0.89 10.06 5263992
0.88 10.23 5269992
0.88 10.40 5275012
0.87 10.61 5281004
0.86 10.82 5287004
0.84 11.00 5293008
0.82 11.12 5299016
0.80 11.20 5305008
0.78 11.22 5310036
0.76 11.23 5316028
0.73 11.23 5322036
0.71 11.23 5328040
0.68 11.23 5334044
0.66 11.23 5340040
0.64 11.23 5345052
0.61 11.23 5351044
0.59 11.23 5357040
0.57 11.23 5362052
0.54 11.23 5367064
0.52 11.23 5373048
