838219856
0.04 9.192820
-0.68 13.83 8681536
-0.67 13.81 8686544
-0.67 13.78 8691756
-0.67 13.76 8696848
-0.67 13.72 8702020
-0.67 13.68 8706976
-0.67 13.64 8712240
-0.67 13.60 8717488
-0.66 13.55 8722468
-0.66 13.50 8727708
-0.66 13.45 8732768
-0.65 13.39 8737920
-0.65 13.33 8742928
-0.64 13.27 8748184
-0.64 13.21 8753436
-0.63 13.15 8758352
-0.62 13.09 8763640
-0.61 13.02 8768656
-0.60 12.96 8773864
-0.60 12.91 8778964
-0.58 12.83 8784208
-0.58 12.77 8789436
-0.56 12.71 8794380
-0.55 12.65 8799680
-0.54 12.59 8804692
-0.53 12.53 8809892
-0.52 12.47 8814988
-0.51 12.42 8820152
-0.50 12.36 8825464
-0.48 12.31 8830400
-0.47 12.26 8835700
-0.45 12.21 8840720
-0.44 12.16 8845920
-0.42 12.11 8851012
-0.41 12.06 8856252
-0.39 12.02 8861484
-0.38 11.98 8866416
-0.36 11.93 8871644
-0.35 11.89 8876612
-0.33 11.85 8881864
-0.31 11.81 8886920
-0.29 11.77 8892196
-0.28 11.73 8897172
-0.26 11.69 8902428
-0.24 11.66 8907656
-0.23 11.62 8912664
-0.21 11.58 8917908
-0.19 11.55 8922948
-0.17 11.51 8928112
-0.15 11.47 8933116
-0.13 11.44 8938272
-0.12 11.40 8943220
-0.10 11.37 8948496
-0.08 11.33 8953720
-0.06 11.30 8958724
-0.05 11.26 8963956
-0.03 11.23 8968996
-0.01 11.19 8974268
0.01 11.16 8979252
0.03 11.12 8984496
0.05 11.09 8989736
0.07 11.05 8994732
0.09 11.02 8999992
0.10 10.98 9005044
0.12 10.95 9010324
0.14 10.91 9015604
0.15 10.88 9020568
0.17 10.85 9025820
0.18 10.81 9030788
0.19 10.79 9036036
0.21 10.76 9041096
0.22 10.73 9046348
0.23 10.72 9051356
0.25 10.70 9056588
0.26 10.69 9061844
0.27 10.68 9066844
0.29 10.68 9072092
0.30 10.68 9077128
0.31 10.68 9082368
0.32 10.70 9087376
0.33 10.71 9092540
0.34 10.73 9097768
0.35 10.75 9102696
0.37 10.78 9107900
0.37 10.81 9112904
0.38 10.84 9118148
0.38 10.87 9123192
0.39 10.90 9128348
0.39 10.93 9133360
0.40 10.97 9138516
0.40 11.00 9143472
0.40 11.04 9148728
0.41 11.08 9153972
0.41 11.12 9158988
0.41 11.15 9164232
0.42 11.19 9169260
0.42 11.22 9174424
0.42 11.26 9179420
0.42 11.30 9184576
0.43 11.34 9189524
0.43 11.37 9194776
0.43 11.41 9200036
0.43 11.45 9205020
0.43 11.49 9210268
0.43 11.53 9215312
0.43 11.57 9220568
0.43 11.60 9225468
0.43 11.64 9230624
0.43 11.68 9235488
0.43 11.72 9240652
0.43 11.76 9245600
0.43 11.80 9250856
0.43 11.84 9256100
0.43 11.89 9260992
0.43 11.93 9266276
0.43 11.98 9271248
0.43 12.02 9276408
0.43 12.07 9281444
0.43 12.12 9286668
0.43 12.17 9291996
0.43 12.22 9296908
0.43 12.27 9302204
0.43 12.32 9307220
0.44 12.37 9312428
0.44 12.43 9317516
0.44 12.49 9322672
0.44 12.55 9327944
0.45 12.61 9332920
0.45 12.67 9338164
0.46 12.74 9343136
0.46 12.80 9348376
0.46 12.87 9353420
0.47 12.93 9358676
0.47 12.99 9363680
0.48 13.06 9368940
0.48 13.12 9374160
0.49 13.19 9379184
0.49 13.25 9384428
0.50 13.31 9389480
0.50 13.37 9394644
0.51 13.43 9399644
0.52 13.48 9404792
0.52 13.54 9410064
0.53 13.59 9415032
0.54 13.64 9420268
0.54 13.68 9425268
0.55 13.72 9430500
0.56 13.76 9435528
0.56 13.79 9440772
0.57 13.82 9445776
0.57 13.83 9451020
0.57 13.84 9456288
0.58 13.85 9461276
0.58 13.85 9466528
0.58 13.85 9471520
0.58 13.84 9476732
0.58 13.83 9481728
0.58 13.81 9486892
0.58 13.78 9491840
0.57 13.75 9497096
0.57 13.72 9502360
0.57 13.68 9507336
0.57 13.64 9512588
0.57 13.59 9517640
0.57 13.55 9522888
0.57 13.49 9527880
0.57 13.44 9533136
0.57 13.38 9538380
0.57 13.32 9543372
0.57 13.27 9548620
0.57 13.20 9553676
0.57 13.14 9558940
0.57 13.08 9563928
0.57 13.01 9569164
0.57 12.95 9574416
0.57 12.89 9579360
0.57 12.83 9584660
0.57 12.76 9589624
0.57 12.70 9594780
0.57 12.64 9599824
0.57 12.58 9605028
0.57 12.52 9610352
0.57 12.47 9615268
0.57 12.41 9620588
0.56 12.36 9625596
0.56 12.31 9630800
0.56 12.25 9635900
0.55 12.20 9641052
0.55 12.16 9646020
0.54 12.11 9651292
0.54 12.06 9656516
