.54 56934476
-0.03 AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
-0.40 15.77 5032932
-0.40 15.94 5037980
-0.40 16.07 5043160
-0.39 16.16 5048152
-0.39 16.21 5053320
-0.39 16.21 5058644
-0.39 16.20 5063556
-0.38 16.19 5068872
-0.38 16.18 5073876
-0.37 16.18 5078996
-0.37 16.19 5083996
-0.37 16.20 5089188
-0.36 16.22 5094196
-0.35 16.25 5099360
-0.35 16.30 5104324
-0.34 16.35 5109560
-0.33 16.43 5114820
-0.32 16.53 5119812
-0.32 16.65 5125040
-0.31 16.77 5130088
-0.30 16.90 5135248
-0.29 17.01 5140248
-0.27 17.09 5145408
-0.27 17.13 5150376
-0.26 17.13 5155632
-0.24 17.12 5160836
-0.23 17.11 5165780
-0.22 17.11 5171096
-0.20 17.11 5176156
-0.19 17.11 5181308
-0.17 17.11 5186268
-0.16 17.11 5191456
-0.15 17.11 5196720
-0.13 17.11 5201560
-0.12 17.11 5206740
-0.10 17.11 5211660
-0.09 17.11 5216888
-0.07 17.11 5221908
-0.06 17.11 5227140
-0.04 17.11 5232156
-0.02 17.11 5237360
-0.01 17.11 5242316
0.01 17.11 5247504
0.02 17.11 5252416
0.04 17.11 5257528
0.06 17.11 5262488
0.08 17.11 5267636
0.09 17.11 5272964
0.11 17.11 5277976
0.12 17.10 5283176
0.14 17.10 5288252
0.15 17.09 5293400
0.16 17.07 5298392
0.17 17.05 5303540
0.18 17.03 5308504
0.19 16.98 5313740
0.21 16.93 5319004
0.22 16.87 5323992
0.23 16.80 5329196
0.24 16.74 5334176
0.25 16.67 5339332
0.26 16.60 5344388
0.27 16.54 5349572
0.28 16.49 5354520
0.28 16.44 5359696
0.29 16.41 5365036
0.30 16.36 5369944
0.31 16.30 5375232
0.31 16.23 5380312
0.32 16.14 5385564
0.33 16.04 5390548
0.33 15.93 5395716
0.34 15.83 5400944
0.35 15.70 5405876
0.35 15.56 5411168
0.35 15.41 5416176
0.36 15.27 5421300
0.36 15.11 5426356
0.36 14.94 5431528
0.36 14.78 5436520
0.37 14.62 5441684
0.37 14.49 5446992
0.37 14.40 5451892
0.37 14.34 5457160
0.37 14.32 5462136
0.37 14.30 5467324
0.37 14.30 5472320
0.37 14.29 5477484
0.37 14.23 5482412
0.37 14.11 5487592
0.37 13.95 5492556
0.37 13.70 5497740
0.37 13.45 5502604
0.37 13.18 5507768
0.37 12.94 5512708
0.37 12.70 5517964
0.37 18.77 5523196
0.37 12.28 5528136
0.37 12.01 5533408
0.37 11.72 5538396
0.37 11.45 5543580
0.37 11.21 5548660
0.38 11.02 5553816
0.38 10.99 5558764
0.38 11.05 5563936
0.38 11.15 5569164
0.38 11.25 5574096
0.39 11.29 5579404
0.39 11.26 5584424
0.39 11.16 5589536
0.39 10.93 5594568
0.40 10.62 5599816
0.40 10.30 5604804
0.41 9.96 5609924
0.41 9.68 5615144
0.42 9.42 5620032
0.42 9.18 5625284
0.43 8.96 5630088
0.44 8.74 5635296
0.45 8.53 5640180
0.46 8.37 5645400
0.47 8.24 5650276
0.48 8.15 5655488
0.50 8.11 5660464
0.51 8.07 5665524
0.52 8.07 5670472
0.53 8.06 5675536
0.54 8.00 5680480
0.54 7.90 5685540
0.55 7.72 5690480
0.56 7.48 5695548
0.57 7.17 5700576
0.57 6.83 5705740
0.58 6.52 5710728
0.58 12.48 5715932
0.59 5.87 5721196
0.59 5.53 5726080
0.60 5.16 5731324
0.61 4.81 5736128
0.61 4.56 5741328
0.62 4.42 5746216
0.62 4.41 5751432
0.63 4.47 5756416
0.64 4.54 5761548
0.64 4.61 5766500
0.64 4.64 5771556
0.64 4.61 5776504
0.64 4.51 5781568
0.64 4.32 5786500
0.64 4.08 5791552
0.63 3.80 5796516
0.62 3.54 5801588
0.62 3.27 5806556
0.61 3.03 5811616
0.61 2.77 5816552
0.60 2.52 5821628
0.60 2.26 5826552
0.59 2.03 5831612
0.58 1.83 5836564
0.57 1.73 5841628
0.56 1.72 5846572
0.55 1.78 5851640
0.54 1.90 5856576
0.52 2.02 5861640
0.51 2.12 5866584
0.49 2.18 5871652
0.47 2.19 5876584
0.45 2.16 5881644
0.43 2.08 5886596
0.40 1.95 5891668
0.38 1.78 5896600
0.35 1.60 5901664
0.32 1.40 5906608
0.29 1.24 5911676
0.27 1.12 5916632
0.24 1.05 5921684
0.21 1.06 5926616
0.18 1.12 5931692
0.16 1.26 5936632
0.13 1.43 5941700
0.10 1.65 5946640
0.08 1.84 5951692
0.05 2.01 5956656
0.02 2.12 5961724
-0.01 2.17 5966656
-0.04 2.18 5971724
-0.06 2.14 5976680
-0.09 2.08 5981740
-0.12 2.03 5986704
-0.15 1.99 5991764
-0.18 1.97 5996712
-0.21 1.99 6001776
-0.24 2.06 6006712
-0.27 2.14 6011780
-0.31 2.28 6016720
-0.34 2.44 6021780
-0.37 2.61 6026744
-0.41 2.80 6031808
-0.44 3.01 6036844
-0.47 3.21 6042008
-0.49 3.42 6047012
-0.52 3.64 6052140
-0.54 3.87 6057112
-0.56 4.09 6062260
-0.59 4.28 6067476
-0.62 4.47 6072380
-0.64 4.58 6077612
-0.66 4.63 6082516
-0.69 4.64 6087720
-0.71 4.64 6092612
-0.74 4.67 6097840
-0.76 4.71 6102812
-0.78 4.79 6107872
-0.80 4.93 6112816
-0.80 5.10 6117884
-0.80 5.33 6122840
-0.79 5.58 6127896
-0.80 5.87 6132928
-0.80 6.12 6138008
-0.80 6.40 6142940
-0.79 6.65 6148116
-0.79 6.92 6153096
-0.78 7.21 6158252
-0.78 7.48 6163216
-0.78 7.76 6168376
-0.78 7.97 6173584
-0.78 8.15 6178468
-0.77 8.27 6183724
-0.76 8.34 6188616
-0.75 8.36 6193820
-0.75 8.36 6198820
-0.74 8.36 6203952
-0.72 8.39 6208944
-0.71 8.48 6214044
-0.70 8.62 6219080
-0.68 8.83 6224240
-0.67 9.07 6229252
-0.67 9.33 6234400
-0.66 9.60 6239612
-0.65 9.92 6244412
-0.64 10.30 6249664
-0.62 10.80 6254608
-0.60 11.29 6259900
-0.59 11.68 6264920
-0.58 11.88 6270028
-0.57 11.95 6275060
-0.56 11.92 6280320
-0.55 11.82 6285328
-0.54 11.66 6290580
-0.53 11.53 6295844
-0.52 11.41 6300832
-0.52 11.38 6306056
-0.51 11.48 6311116
-0.51 11.67 6316364
-0.50 11.92 6321372
-0.49 12.21 6326624
-0.49 12.48 6331860
-0.48 12.81 6336864
-0.48 13.14 6342096
-0.47 13.55 6347144
-0.46 13.98 6352400
-0.45 14.33 6357404
-0.45 14.58 6362660
-0.44 14.68 6367920
-0.44 14.63 6372900
-0.43 14.50 6378120
-0.43 14.30 6383176
-0.42 14.10 6388428
-0.42 13.96 6393428
-0.42 13.89 6398684
-0.42 13.94 6403928
-0.42 14.15 6408928
-0.42 14.43 6414152
-0.42 14.78 6419212
-0.42 15.11 6424468
-0.42 15.38 6429464
-0.41 15.62 6434720
-0.41 15.80 6439964
-0.41 15.96 6444956
-0.41 16.07 6450172
-0.40 16.12 6455244
-0.40 16.11 6460508
-0.40 16.08 6465500
-0.39 16.05 6470752
-0.39 16.03 6476004
-0.39 16.03 6480984
-0.38 16.03 6486208
-0.38 16.05 6491260
-0.37 16.08 6496508
-0.36 16.12 6501524
-0.36 16.19 6506772
-0.35 16.25 6512024
-0.34 16.33 6517028
-0.33 16.41 6522260
-0.33 16.51 6527324
-0.31 16.62 6532564
-0.31 16.72 6537568
-0.29 16.82 6542728
-0.28 16.91 6547956
-0.27 16.97 6552884
-0.26 16.98 6558192
-0.25 16.97 6563204
-0.24 16.96 6568308
-0.23 16.96 6573364
-0.21 16.96 6578508
-0.20 16.96 6583460
-0.19 16.97 6588652
-0.17 16.97 6593604
-0.16 16.97 6598852
-0.14 16.97 6604116
-0.13 16.98 6609108
-0.12 16.98 6614340
-0.10 16.99 6619400
-0.09 16.99 6624572
-0.07 17.00 6629556
-0.05 17.01 6634712
-0.04 17.03 6639672
-0.02 17.04 6644816
-0.01 17.05 6650040
0.01 17.06 6654960
0.02 17.07 6660268
0.04 17.07 6665256
0.06 17.07 6670384
0.07 17.07 6675372
0.09 17.07 6680480
0.10 17.07 6685528
0.12 17.07 6690728
0.13 17.07 6695640
0.14 17.06 6700824
0.15 17.05 6706048
0.16 17.04 6710968
0.17 17.02 6716276
0.18 17.00 6721280
0.19 16.98 6726408
0.20 16.95 6731448
0.21 16.91 6736620
0.22 16.86 6741620
0.23 16.79 6746768
0.24 16.73 6751716
0.25 16.63 6756960
0.26 16.54 6762220
0.27 16.46 6767208
0.27 16.40 6772420
0.28 16.33 6777492
0.28 16.28 6782664
0.29 16.24 6787664
0.30 16.20 6792812
0.30 16.14 6797772
0.31 16.08 6803012
0.31 16.01 6808280
0.32 15.91 6813264
0.33 15.81 6818488
0.33 15.68 6823560
0.33 15.54 6828816
