RSION: 0.5.0
Connect: 1
20
0.09 AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
20
0.09 AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
-0.17 16.54 6632964
-0.17 16.59 6638824
-0.16 16.64 6644820
-0.16 16.70 6650328
-0.16 16.76 6656152
-0.16 16.82 6662112
-0.16 16.88 6668008
-0.16 16.95 6673872
-0.16 17.01 6679380
-0.16 17.07 6685212
-0.16 17.13 6691164
-0.16 17.20 6697056
-0.16 17.26 6702912
-0.16 17.31 6708424
-0.16 17.36 6714344
-0.16 17.39 6720188
-0.16 17.42 6726104
-0.16 17.43 6731964
-0.16 17.43 6737472
-0.16 17.43 6743288
-0.16 17.42 6749252
-0.16 17.40 6755144
-0.16 17.38 6760992
-0.16 17.35 6766404
-0.16 17.32 6772264
-0.15 17.28 6778160
-0.15 17.23 6784028
-0.15 17.19 6789944
-0.15 17.14 6795436
-0.15 17.09 6801268
-0.15 17.04 6807176
-0.15 16.99 6813044
-0.14 16.95 6818556
-0.14 16.91 6824384
-0.14 16.86 6830368
-0.14 16.83 6836264
-0.13 16.78 6842112
-0.13 16.75 6847628
-0.13 16.72 6853436
-0.12 16.69 6859424
-0.12 16.66 6865324
-0.12 16.65 6871188
-0.11 16.64 6877100
-0.11 16.63 6882692
-0.10 16.63 6888512
-0.10 16.63 6894472
-0.10 16.64 6900360
-0.09 16.66 6906232
-0.09 16.68 6912148
-0.08 16.70 6917720
-0.08 16.73 6923544
-0.08 16.76 6929500
-0.08 16.79 6935396
-0.07 16.83 6941268
-0.07 16.87 6946772
-0.07 16.92 6952592
-0.06 16.96 6958556
-0.06 17.01 6964448
-0.06 17.06 6970304
-0.05 17.12 6975820
-0.05 17.17 6981632
-0.05 17.23 6987604
-0.04 17.29 6993508
-0.04 17.34 6999368
-0.04 17.40 7005284
-0.04 17.45 7010868
-0.03 17.50 7016692
-0.03 17.55 7022644
-0.03 17.60 7028532
-0.03 17.63 7034400
-0.03 17.67 7039904
-0.02 17.70 7045728
-0.02 17.72 7051680
-0.02 17.73 7057576
-0.02 17.73 7063428
-0.02 17.73 7068956
-0.02 17.72 7074764
-0.02 17.71 7080732
-0.01 17.68 7086624
-0.01 17.66 7092496
-0.01 17.63 7098412
-0.01 17.59 7103900
-0.01 17.55 7109752
-0.01 17.51 7115648
-0.01 17.47 7121508
-0.01 17.43 7126928
-0.02 17.39 7132788
-0.02 17.35 7138696
-0.02 17.30 7144520
-0.02 17.26 7149944
-0.02 17.22 7155796
-0.02 17.17 7161696
-0.02 17.13 7167536
-0.02 17.08 7173456
-0.02 17.04 7178944
-0.02 17.01 7184804
-0.02 16.98 7190700
-0.02 16.95 7196544
-0.01 16.94 7202076
-0.01 16.92 7207884
-0.01 16.91 7213868
-0.00 16.90 7219772
0.00 16.90 7225636
0.00 16.90 7231056
0.00 16.91 7236800
0.01 16.92 7242664
0.01 16.94 7248172
0.01 16.96 7253976
0.01 16.98 7259936
0.02 17.00 7265840
0.02 17.03 7271716
0.02 17.07 7277224
0.03 17.10 7283044
0.03 17.14 7289020
0.04 17.18 7294916
0.04 17.22 7300776
0.05 17.26 7306692
0.06 17.30 7312276
0.06 17.32 7318096
0.07 17.37 7324088
0.08 17.41 7329976
0.08 17.44 7335820
0.09 17.47 7341340
0.10 17.50 7347160
0.10 17.52 7353128
0.11 17.54 7359024
0.11 17.55 7364896
0.11 17.55 7370812
0.12 17.55 7376392
0.12 17.54 7382152
0.12 17.53 7388040
0.12 17.52 7393908
0.12 17.50 7399316
0.12 17.48 7405176
0.12 17.45 7410916
0.12 17.42 7416428
0.12 17.39 7422248
0.13 17.36 7428224
0.13 17.32 7434108
0.13 17.27 7439976
0.12 17.23 7445484
0.13 17.19 7451308
0.13 17.14 7457264
0.13 17.09 7462992
0.13 17.04 7468404
0.13 16.99 7474260
0.13 16.96 7480004
0.13 16.92 7485508
0.13 16.88 7491320
0.13 16.84 7497208
0.12 16.80 7503032
0.12 16.76 7508456
0.12 16.73 7514312
0.13 16.70 7520044
0.13 16.67 7525572
0.13 16.65 7531384
0.13 16.62 7537248
0.13 16.61 7543108
0.13 16.59 7549032
0.13 16.57 7554604
0.13 16.57 7560436
0.13 16.56 7566388
0.13 16.56 7572232
0.13 16.56 7578020
0.13 16.56 7583444
0.14 16.56 7589316
0.14 16.57 7595180
0.14 16.57 7601092
0.14 16.58 7606676
0.14 16.59 7612500
0.14 16.59 7618464
0.14 16.61 7624376
0.15 16.62 7630228
0.15 16.63 7635748
0.15 16.64 7641560
0.15 16.65 7647508
0.16 16.67 7653404
0.16 16.68 7659252
0.16 16.69 7665180
0.17 16.70 7670752
0.17 16.71 7676584
0.18 16.72 7682552
0.18 16.72 7688444
0.19 16.73 7694296
0.19 16.73 7700212
0.19 16.72 7705804
0.20 16.72 7711612
0.20 16.71 7717584
0.20 16.70 7723492
0.21 16.69 7729328
0.21 16.68 7734832
0.21 16.66 7740664
0.22 16.65 7746640
0.22 16.63 7752540
0.22 16.61 7758400
0.23 16.59 7763908
0.23 16.56 7769740
0.23 16.53 7775692
0.23 16.51 7781588
0.24 16.49 7787444
0.24 16.44 7793360
0.24 16.40 7798944
0.24 16.37 7804772
0.24 16.34 7810744
0.24 16.32 7816660
0.24 16.28 7822492
0.25 16.26 7828000
0.25 16.23 7833836
0.25 16.20 7839668
0.25 16.17 7845548
0.25 16.13 7851056
0.25 16.10 7856868
0.25 16.07 7862852
0.25 16.04 7868592
0.25 16.01 7874012
0.25 15.99 7879872
0.25 15.96 7885604
0.25 15.93 7891120
0.25 15.90 7896936
0.25 15.87 7902820
